[PROBLEM]
BATTERY_CAPACITY = 80
CONSUMPTION_RATE = 1.2
PRIVATE_CHARGE_RATE = 1.8
PUBLIC_CHARGE_RATE = 0.4

[NODES]
# ID X Y EARLIEST LATEST SERVICE PRIVATE_CHARGER
0 0 0 0 1000 0 0
1 40 7 12 112 10 1
2 15 14 71 171 10 0
3 43 47 456 556 9 0
4 37 27 16 116 5 0
5 13 14 258 358 9 0
6 35 12 366 466 10 1
7 14 28 301 401 7 0
8 48 10 357 457 8 1
9 17 9 110 210 7 0
10 5 24 49 149 7 1
11 38 16 413 513 5 1
12 34 7 498 598 8 0
13 35 18 424 524 10 1
14 36 12 360 460 5 0
15 42 14 395 495 7 0
16 14 6 194 294 7 1
17 40 23 83 183 7 1
18 13 42 136 236 10 0
19 38 40 87 187 9 0
20 10 29 194 294 7 0
21 43 20 431 531 5 0
22 2 20 205 305 7 0
23 13 36 448 548 10 1
24 13 41 255 355 8 1
25 9 16 71 171 6 1
26 47 37 219 319 9 1
27 23 14 70 170 9 1
28 5 48 24 124 5 0
29 40 10 405 505 10 1
30 38 4 197 297 8 1
31 33 16 497 597 9 0
32 43 46 58 158 10 1
33 49 41 174 274 5 1
34 27 10 232 332 5 1
35 32 48 91 191 9 0
36 40 19 430 530 10 0
37 9 23 390 490 6 0
38 38 20 250 350 5 0
39 23 19 122 222 5 0
40 36 5 43 143 10 1
41 4 48 272 372 6 0
42 42 30 484 584 9 0
43 16 33 446 546 9 1
44 13 34 386 486 10 0
45 45 19 204 304 10 1
46 28 33 231 331 5 0
47 14 4 173 273 5 0
48 37 14 3 103 5 0
49 14 4 463 563 5 1
50 4 32 121 221 7 1
51 13 34 67 167 10 1
52 15 50 242 342 8 0
53 6 6 337 437 8 1
54 27 26 239 339 10 0
55 43 41 330 430 5 0
56 25 46 173 273 5 0
57 12 12 274 374 8 0
58 27 11 142 242 8 0
59 4 28 413 513 9 0
60 3 41 276 376 5 0
61 48 15 85 185 8 1
62 30 13 442 542 8 0
63 10 24 1 101 8 1
64 50 50 232 332 7 1
65 44 46 401 501 9 1
66 9 12 151 251 6 0
67 37 47 277 377 5 1
68 3 3 299 399 8 0
69 3 32 41 141 6 0
70 38 4 345 445 6 1
71 7 36 126 226 9 0
72 39 5 214 314 10 1
73 16 13 342 442 10 1
74 15 16 202 302 6 1
75 29 20 475 575 5 0
76 29 39 288 388 5 0
77 34 13 259 359 7 0
78 22 4 450 550 6 1
79 18 10 224 324 9 1
80 39 41 270 370 5 1
81 42 6 480 580 6 1
82 7 6 380 480 9 0
83 17 18 309 409 6 1
84 13 43 324 424 7 1
85 16 3 47 147 10 1
86 17 2 1 101 7 0
87 40 16 82 182 10 1
88 35 45 218 318 9 0
89 7 4 483 583 10 0
90 34 2 427 527 7 0
91 27 8 21 121 7 1
92 50 2 460 560 7 0
93 43 15 341 441 5 1
94 49 35 452 552 8 0
95 15 10 499 599 6 1
96 1 11 377 477 7 1
97 42 47 415 515 6 1
98 10 50 359 459 5 1
99 2 30 113 213 6 1
100 22 19 420 520 6 0

[CHARGING_STATIONS]
# ID X Y
101 1 42
102 12 25
103 21 17
104 4 49
105 17 22
